file,selector,type,key_hint,text;;;;;
.\home\index.html,,innerText,,<script> // Inicializar el contador de visitantes let visitorCount = 0; // Función para actualizar el contador de visitantes function updateVisitorCount() { visitorCount++; document.getElementById('visitorCounter').textContent = visitorCount; } // Llamar a la función al cargar la página window.onload = updateVisitorCount;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > h2#faqTitle,attr:data-i18n,faq_title,faq_title;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-categories-tabs:nth-of-type(1) > button#tab_venue,attr:data-i18n,faq_tab_venue,faq_tab_venue;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-categories-tabs:nth-of-type(1) > button#tab_menu,attr:data-i18n,faq_tab_menu,faq_tab_menu;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-categories-tabs:nth-of-type(1) > button#tab_servizi,attr:data-i18n,faq_tab_servizi,faq_tab_servizi;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_1,attr:data-i18n,faq_1,faq_1;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_2,attr:data-i18n,faq_2,faq_2;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_3,attr:data-i18n,faq_3,faq_3;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-venue > button#faq_4,attr:data-i18n,faq_4,faq_4;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_5,attr:data-i18n,faq_5,faq_5;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_6,attr:data-i18n,faq_6,faq_6;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_7,attr:data-i18n,faq_7,faq_7;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_8,attr:data-i18n,faq_8,faq_8;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_9,attr:data-i18n,faq_9,faq_9;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_10,attr:data-i18n,faq_10,faq_10;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_11,attr:data-i18n,faq_11,faq_11;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_12,attr:data-i18n,faq_12,faq_12;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_13,attr:data-i18n,faq_13,faq_13;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_14,attr:data-i18n,faq_14,faq_14;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_15,attr:data-i18n,faq_15,faq_15;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_16,attr:data-i18n,faq_16,faq_16;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_17,attr:data-i18n,faq_17,faq_17;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_18,attr:data-i18n,faq_18,faq_18;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_19,attr:data-i18n,faq_19,faq_19;;;;;
